ime_datoteke, oznaka
primjer1.png, ZG6652JN
primjer2.png, ZG7034FL
primjer4.png, PU2014EC
primjer5.png, ZG9002JN
primjer6.png, ZG6948IZ
primjer7.png, ČK148DA
primjer8.png, ZG2294IJ
primjer9.png, ČK148DA
primjer10.png, VŽ330NH
primjer11.png, VK844EN
primjer12.png, ZG3601IZ
primjer13.png, ZG7781JB
primjer14.png, ZG8159JP
primjer15.png, VK120EJ
primjer16.png, ZG7060GF
primjer17.png, PU883RZ
primjer18.png, VK249FZ
primjer19.png, ZG5675U
primjer20.png, ZG1526FZ
primjer21.png, ZG7869BH
primjer22.png, ZG7789JL
primjer23.png, PU758ZR
primjer24.png, ZG2636JF
primjer25.png, VK203GG
primjer26.png, ZG1072IV
primjer27.png, ZG9743HJ
primjer28.png, OS990OP
primjer29.png, ZG2399EE
primjer30.png, ZG2043DR
primjer31.png, ZG1950JJ
primjer32.png, ZG1803DL
primjer33.png, RIPV5296
primjer34.png, STPV2016
primjer35.png, IMPV911
primjer36.png, SB672IK
primjer37.png, KC440IG
primjer38.png, VŽ330NH
primjer39.png, PU883RZ
primjer40.png, PU758ZR
primjer41.png, VK249FZ
primjer42.png, RI64710
primjer43.png, NG479BE
primjer44.png, BM419CH
primjer45.png, ST0403SM
primjer46.png, ST1990L
primjer47.png, ZD0001PS
primjer48.png, PU2014EC
primjer49.png, DU113EC
primjer50.png, RI2824U
